ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,3243,269.80000000000001,462.5,268.5402298850575,463.4942528735632,3243,1.7539105624303051e-06,4.7143993610807047e-07,1.5707963267948966,-1.0808390005411683
1,3244,398.07692307692309,460.0,397.83999999999997,463.44,3244,1.8310826271772384e-06,1.0385693863949891e-06,1.5707963267948966,-1.40338367317137
1,3245,643.18382352941171,463.90441176470586,643.58333333333337,462.83333333333331,3245,2.8186804330390361e-05,2.6161352618038255e-06,1.5707963267948966,1.6364825317615839
1,3246,657.25,462.69999999999999,659.55172413793105,463.08620689655174,3246,4.9986451029263697e-06,2.1470186510869851e-06,1.5707963267948966,-3.1093457711545391
1,3247,740.74666666666667,463.01333333333332,739.29591836734699,462.70408163265307,3247,1.152211857237378e-05,3.4753769256670887e-06,1.5707963267948966,0.28266864481760817
1,3248,760.93495934959344,463.67073170731709,759.7833333333333,463.75,3248,3.1280994880944492e-05,5.8500647765881706e-06,1.5707963267948966,0.078179912833148388
1,3249,767.64516129032256,467.25806451612902,770.34000000000003,465.72000000000003,3249,3.1535311912496885e-06,1.0283293587445631e-06,1.5707963267948966,2.919363193768902
1,3250,145.25,461.71428571428572,147.61728395061729,465.24691358024694,3250,5.2747236173829911e-06,3.7372148011395281e-06,1.5707963267948966,-2.4329663814621227
1,3251,336.66666666666669,465.0,335.60869565217394,464.27173913043481,3251,4.9757680086337997e-07,1.0912973747718885e-07,1.5707963267948966,0.56068699498280195
1,3252,344.19999999999999,467.19999999999999,345.36458333333331,464.97916666666669,3252,7.9474072360123194e-07,2.6034321437344658e-07,1.5707963267948966,1.317122230656254
1,3253,379.0,462.33333333333331,378.18181818181819,464.0151515151515,3253,6.9359190423380246e-07,1.9065017881528376e-07,1.5707963267948966,-1.0303768265243125
1,3254,483.25,466.5,484.11881188118809,467.21782178217819,3254,6.0431769873836255e-07,7.879338790243324e-08,1.5707963267948966,1.8157749899217608
1,3255,497.11111111111109,465.94444444444446,499.22891566265059,467.02409638554218,3255,3.3091854708022381e-06,1.1692067538281494e-06,1.5707963267948966,-3.0846797221303204
1,3256,509.42857142857144,466.85714285714283,512.34939759036149,463.46987951807228,3256,1.2869054608675371e-06,6.7491060552020054e-07,1.5707963267948966,2.487021886266402
1,3257,808.25,466.75,809.01369863013701,467.43835616438355,3257,4.1805539433270284e-07,1.1995149897441034e-07,1.5707963267948966,-2.8817782837439641
1,3258,13.666666666666666,467.66666666666669,17.80952380952381,467.6952380952381,3258,4.3597205408981868e-07,3.2706964956625008e-07,1.5707963267948966,3.0278006464460852
1,3259,122.16666666666667,463.33333333333331,121.89655172413794,463.89655172413791,3259,3.1570390123745491e-06,5.0439096051103501e-07,1.5707963267948966,-0.24497866312686412
1,3260,217.75,466.5,217.39130434782609,464.10144927536231,3260,8.8458097931267554e-07,4.52797666853278e-07,1.5707963267948966,1.2793395323170296
1,3261,222.0,462.0,224.04545454545453,462.31818181818181,3261,1.3871838084676049e-06,4.9856226345681142e-07,1.5707963267948966,2.9147938055359011
1,3262,242.0,466.89130434782606,243.82258064516128,466.69354838709677,3262,1.1321209791687227e-05,3.3925336357147487e-06,1.5707963267948966,2.9483811697419871
1,3263,297.95833333333331,466.3125,294.87387387387389,464.7117117117117,3263,6.5984959537918501e-06,3.1425471267598191e-06,1.5707963267948966,0.81885386249919601
1,3264,357.46666666666664,466.80000000000001,357.54450261780107,467.31937172774872,3264,1.1983525046971455e-06,2.013019251888379e-07,1.5707963267948966,2.6607053733944577
1,3265,545.20289855072463,472.6521739130435,541.44907407407402,470.25,3265,4.8037661515452243e-06,2.0946310339084475e-06,1.5707963267948966,0.6534855403304386
