Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,14,Neighbors,cell,1,107,cell,1,118
MeasureObjectNeighbors,14,Neighbors,cell,1,107,cell,1,124
MeasureObjectNeighbors,14,Neighbors,cell,1,108,cell,1,39
MeasureObjectNeighbors,14,Neighbors,cell,1,108,cell,1,60
MeasureObjectNeighbors,14,Neighbors,cell,1,108,cell,1,98
MeasureObjectNeighbors,14,Neighbors,cell,1,108,cell,1,114
MeasureObjectNeighbors,14,Neighbors,cell,1,108,cell,1,140
MeasureObjectNeighbors,14,Neighbors,cell,1,108,cell,1,146
MeasureObjectNeighbors,14,Neighbors,cell,1,108,cell,1,173
MeasureObjectNeighbors,14,Neighbors,cell,1,109,cell,1,70
MeasureObjectNeighbors,14,Neighbors,cell,1,109,cell,1,96
MeasureObjectNeighbors,14,Neighbors,cell,1,109,cell,1,133
MeasureObjectNeighbors,14,Neighbors,cell,1,109,cell,1,154
MeasureObjectNeighbors,14,Neighbors,cell,1,109,cell,1,160
MeasureObjectNeighbors,14,Neighbors,cell,1,110,cell,1,100
MeasureObjectNeighbors,14,Neighbors,cell,1,110,cell,1,115
MeasureObjectNeighbors,14,Neighbors,cell,1,110,cell,1,129
MeasureObjectNeighbors,14,Neighbors,cell,1,110,cell,1,161
MeasureObjectNeighbors,14,Neighbors,cell,1,110,cell,1,168
MeasureObjectNeighbors,14,Neighbors,cell,1,110,cell,1,169
MeasureObjectNeighbors,14,Neighbors,cell,1,111,cell,1,71
MeasureObjectNeighbors,14,Neighbors,cell,1,112,cell,1,83
MeasureObjectNeighbors,14,Neighbors,cell,1,112,cell,1,93
MeasureObjectNeighbors,14,Neighbors,cell,1,112,cell,1,104
MeasureObjectNeighbors,14,Neighbors,cell,1,112,cell,1,134
MeasureObjectNeighbors,14,Neighbors,cell,1,112,cell,1,135
MeasureObjectNeighbors,14,Neighbors,cell,1,112,cell,1,143
MeasureObjectNeighbors,14,Neighbors,cell,1,112,cell,1,157
MeasureObjectNeighbors,14,Neighbors,cell,1,113,cell,1,86
MeasureObjectNeighbors,14,Neighbors,cell,1,113,cell,1,107
MeasureObjectNeighbors,14,Neighbors,cell,1,114,cell,1,39
MeasureObjectNeighbors,14,Neighbors,cell,1,114,cell,1,108
MeasureObjectNeighbors,14,Neighbors,cell,1,114,cell,1,140
MeasureObjectNeighbors,14,Neighbors,cell,1,115,cell,1,110
MeasureObjectNeighbors,14,Neighbors,cell,1,115,cell,1,129
MeasureObjectNeighbors,14,Neighbors,cell,1,117,cell,1,78
MeasureObjectNeighbors,14,Neighbors,cell,1,117,cell,1,82
MeasureObjectNeighbors,14,Neighbors,cell,1,117,cell,1,101
MeasureObjectNeighbors,14,Neighbors,cell,1,117,cell,1,134
MeasureObjectNeighbors,14,Neighbors,cell,1,117,cell,1,142
MeasureObjectNeighbors,14,Neighbors,cell,1,117,cell,1,147
MeasureObjectNeighbors,14,Neighbors,cell,1,118,cell,1,107
MeasureObjectNeighbors,14,Neighbors,cell,1,118,cell,1,124
MeasureObjectNeighbors,14,Neighbors,cell,1,118,cell,1,184
MeasureObjectNeighbors,14,Neighbors,cell,1,118,cell,1,191
MeasureObjectNeighbors,14,Neighbors,cell,1,119,cell,1,103
MeasureObjectNeighbors,14,Neighbors,cell,1,119,cell,1,126
MeasureObjectNeighbors,14,Neighbors,cell,1,119,cell,1,127
MeasureObjectNeighbors,14,Neighbors,cell,1,119,cell,1,137
MeasureObjectNeighbors,14,Neighbors,cell,1,120,cell,1,80
MeasureObjectNeighbors,14,Neighbors,cell,1,120,cell,1,99
MeasureObjectNeighbors,14,Neighbors,cell,1,120,cell,1,128
MeasureObjectNeighbors,14,Neighbors,cell,1,120,cell,1,136
MeasureObjectNeighbors,14,Neighbors,cell,1,120,cell,1,166
